game,season,home_team,away_team,starting_min,outcome,home_players,away_players,player_removed
10446,8,28,30,21,1,"[206, 758, 847, 1022]","[77, 221, 568, 958, 969]",616
5228,4,3,8,17,-1,"[196, 363, 748, 907]","[12, 356, 410, 751, 990]",927
9972,8,16,33,32,-1,"[306, 556, 681, 1001]","[223, 327, 371, 504, 866]",433
9893,8,7,17,19,-1,"[149, 420, 430, 1000]","[448, 496, 577, 595, 626]",738
9942,8,25,0,12,1,"[85, 278, 321, 964]","[252, 260, 325, 727, 952]",342
2066,1,10,31,23,1,"[79, 84, 738, 927]","[473, 513, 584, 649, 754]",12
6784,5,29,9,23,-1,"[465, 517, 677, 996]","[113, 376, 461, 850, 947]",402
7867,6,26,12,42,1,"[76, 295, 546, 757]","[360, 773, 794, 860, 992]",922
2669,2,0,17,36,1,"[6, 692, 719, 856]","[152, 153, 501, 815, 835]",701
2346,1,14,28,13,1,"[529, 600, 651, 792]","[436, 453, 509, 896, 977]",882
660,0,11,26,7,1,"[283, 812, 901, 974]","[42, 43, 506, 848, 879]",562
3410,2,17,23,37,1,"[152, 153, 501, 649]","[162, 173, 624, 745, 1031]",815
5339,4,0,6,14,1,"[475, 692, 701, 1041]","[35, 407, 429, 468, 815]",545
2310,1,31,3,19,-1,"[207, 294, 649, 754]","[326, 363, 448, 462, 827]",473
1293,1,10,7,21,1,"[12, 573, 669, 738]","[110, 286, 464, 541, 979]",84
9506,7,32,12,46,-1,"[176, 249, 523, 950]","[245, 360, 619, 794, 860]",380
4885,3,10,24,47,1,"[63, 67, 738, 859]","[473, 584, 868, 894, 952]",925
3653,2,19,25,38,-1,"[455, 537, 594, 1037]","[62, 191, 390, 668, 717]",1010
2277,1,15,8,39,-1,"[457, 467, 547, 610]","[29, 318, 410, 583, 634]",383
8043,6,12,1,0,-1,"[245, 360, 794, 860]","[82, 110, 191, 585, 796]",619
9079,7,16,9,12,1,"[157, 708, 765, 825]","[112, 376, 522, 612, 850]",630
6430,5,20,25,25,-1,"[326, 463, 669, 980]","[162, 304, 366, 390, 462]",453
10162,8,4,25,25,-1,"[269, 498, 597, 792]","[150, 277, 321, 762, 1008]",499
9814,8,18,17,29,-1,"[54, 184, 372, 1039]","[338, 448, 496, 595, 1041]",953
10196,8,34,2,44,1,"[108, 518, 668, 796]","[102, 124, 453, 505, 735]",691
3878,3,28,18,5,-1,"[114, 616, 691, 929]","[14, 184, 525, 768, 871]",377
9538,7,28,29,22,1,"[616, 758, 956, 1022]","[87, 250, 270, 465, 826]",311
2891,2,20,11,20,-1,"[168, 440, 823, 1000]","[1, 117, 135, 901, 1035]",245
8644,7,4,16,21,-1,"[138, 499, 597, 721]","[159, 630, 765, 825, 1001]",653
530,0,8,11,24,-1,"[318, 671, 929, 1034]","[283, 562, 812, 901, 974]",29
1350,1,6,33,23,-1,"[274, 300, 630, 881]","[48, 138, 264, 704, 857]",1043
4376,3,30,15,16,1,"[248, 360, 695, 852]","[252, 426, 666, 766, 865]",664
8171,6,3,9,25,-1,"[94, 128, 362, 576]","[113, 376, 461, 535, 612]",712
905,0,0,34,15,-1,"[545, 875, 912, 997]","[36, 71, 133, 291, 455]",62
3301,2,4,25,11,1,"[85, 107, 517, 597]","[191, 304, 408, 812, 967]",962
9745,8,5,7,36,1,"[94, 121, 362, 576]","[16, 109, 286, 406, 738]",182
3515,2,24,14,9,-1,"[473, 584, 754, 868]","[529, 600, 617, 792, 980]",613
407,0,18,4,13,-1,"[194, 684, 817, 837]","[49, 85, 728, 778, 952]",687
4406,3,25,17,38,-1,"[62, 304, 408, 869]","[50, 383, 495, 500, 649]",1010
293,0,34,11,32,-1,"[58, 141, 340, 852]","[283, 562, 654, 901, 974]",71
6858,5,4,32,45,-1,"[130, 138, 609, 653]","[34, 46, 356, 435, 535]",942
10014,8,2,8,45,1,"[453, 505, 693, 895]","[78, 407, 745, 990, 1031]",17
9861,8,2,30,13,-1,"[17, 453, 492, 693]","[77, 664, 669, 695, 969]",102
3206,2,17,9,15,-1,"[152, 153, 211, 570]","[72, 78, 461, 834, 850]",214
5020,4,14,18,0,-1,"[263, 617, 706, 792]","[231, 587, 708, 892, 1021]",600
8563,7,34,23,31,-1,"[108, 518, 668, 691]","[33, 140, 398, 410, 781]",445
9119,7,27,10,30,1,"[150, 361, 369, 733]","[42, 299, 386, 599, 925]",780
4267,3,14,13,12,-1,"[529, 543, 600, 904]","[15, 194, 671, 823, 892]",792
231,0,32,1,36,-1,"[46, 349, 511, 533]","[14, 122, 257, 796, 966]",535
